Jobs,Processors,Cooling,Run,Time,BestK2
1500,8,C,3,1.24,4.72172e+06
1500,8,C,4,0.95,4.74449e+06
1500,8,C,5,1.19,4.72702e+06
1500,16,L,1,0.08,3.45489e+06
1500,16,L,2,0.08,3.45489e+06
1500,16,L,3,0.08,3.45489e+06
1500,16,L,4,0.08,3.45489e+06
1500,16,L,5,0.08,3.45489e+06
1500,16,B,1,0.08,3.45489e+06
1500,16,B,2,0.08,3.45489e+06
1500,16,B,3,0.08,3.45489e+06
1500,16,B,4,0.08,3.42812e+06
1500,16,B,5,0.08,3.45427e+06
1500,16,C,1,1.00,2.53716e+06
1500,16,C,2,1.23,2.52685e+06
1500,16,C,3,0.62,2.58074e+06
1500,16,C,4,1.12,2.53248e+06
1500,16,C,5,1.34,2.52701e+06
1500,20,L,1,0.12,2.76988e+06
1500,20,L,2,0.09,2.76988e+06
1500,20,L,3,0.09,2.76988e+06
1500,20,L,4,0.09,2.76988e+06
1500,20,L,5,0.09,2.76988e+06
1500,20,B,1,0.09,2.79588e+06
1500,20,B,2,0.10,2.83495e+06
1500,20,B,3,0.09,2.83495e+06
1500,20,B,4,0.09,2.83495e+06
1500,20,B,5,0.09,2.83495e+06
1500,20,C,1,1.19,1.95236e+06
1500,20,C,2,1.02,1.96091e+06
1500,20,C,3,1.40,1.94849e+06
1500,20,C,4,1.17,1.95386e+06
1500,20,C,5,1.00,1.95961e+06
2000,2,L,1,1.81,3.41748e+07
2000,2,L,2,2.14,3.40854e+07
2000,2,L,3,1.30,3.44806e+07
2000,2,L,4,1.64,3.4237e+07
2000,2,L,5,1.57,3.42827e+07
2000,2,B,1,0.12,4.81691e+07
2000,2,B,2,0.13,4.80077e+07
2000,2,B,3,0.12,4.86633e+07
2000,2,B,4,0.12,4.86633e+07
2000,2,B,5,0.12,4.86633e+07
2000,2,C,1,1.60,3.4336e+07
2000,2,C,2,1.58,3.4303e+07
2000,2,C,3,2.25,3.40934e+07
2000,2,C,4,2.11,3.41177e+07
2000,2,C,5,1.17,3.46149e+07
2000,4,L,1,1.94,1.69468e+07
2000,4,L,2,2.00,1.69304e+07
2000,4,L,3,1.47,1.70493e+07
2000,4,L,4,1.64,1.69998e+07
2000,4,L,5,1.40,1.70555e+07
2000,4,B,1,0.12,2.39069e+07
2000,4,B,2,0.12,2.39069e+07
2000,4,B,3,0.12,2.37475e+07
2000,4,B,4,0.09,2.41342e+07
2000,4,B,5,0.09,2.41342e+07
2000,4,C,1,1.76,1.7194e+07
2000,4,C,2,1.40,1.72716e+07
2000,4,C,3,2.32,1.71132e+07
2000,4,C,4,1.88,1.71719e+07
2000,4,C,5,1.82,1.71846e+07
2000,8,L,1,0.11,1.22111e+07
2000,8,L,2,0.11,1.22111e+07
2000,8,L,3,0.11,1.22111e+07
2000,8,L,4,0.11,1.22111e+07
2000,8,L,5,0.09,1.24092e+07
2000,8,B,1,0.09,1.21032e+07
2000,8,B,2,0.09,1.21032e+07
2000,8,B,3,0.10,1.21032e+07
2000,8,B,4,0.09,1.21032e+07
2000,8,B,5,0.10,1.21032e+07
2000,8,C,1,2.16,8.28977e+06
2000,8,C,2,1.73,8.31885e+06
2000,8,C,3,1.92,8.30458e+06
2000,8,C,4,1.66,8.31919e+06
2000,8,C,5,2.26,8.28285e+06
2000,16,L,1,2.29,4.37948e+06
2000,16,L,2,0.11,6.2256e+06
2000,16,L,3,0.11,6.2256e+06
2000,16,L,4,0.11,6.23241e+06
2000,16,L,5,1.93,4.39008e+06
2000,16,B,1,0.12,6.2526e+06
2000,16,B,2,0.12,6.22214e+06
2000,16,B,3,0.12,6.22214e+06
2000,16,B,4,0.12,6.22214e+06
2000,16,B,5,0.12,6.22214e+06
2000,16,C,1,2.14,4.34278e+06
2000,16,C,2,1.93,4.34776e+06
2000,16,C,3,1.80,4.35538e+06
2000,16,C,4,1.89,4.35223e+06
2000,16,C,5,1.67,4.36235e+06
2000,20,L,1,0.10,5.03246e+06
2000,20,L,2,0.10,5.03246e+06
2000,20,L,3,0.10,5.03246e+06
2000,20,L,4,0.10,5.03246e+06
2000,20,L,5,0.10,5.03246e+06
2000,20,B,1,0.10,5.03246e+06
2000,20,B,2,0.10,5.03246e+06
2000,20,B,3,0.10,5.03246e+06
2000,20,B,4,0.10,5.02541e+06
2000,20,B,5,0.12,5.01364e+06
2000,20,C,1,1.64,3.55469e+06
2000,20,C,2,2.00,3.54296e+06
2000,20,C,3,1.67,3.55916e+06
2000,20,C,4,1.58,3.56516e+06
2000,20,C,5,1.56,3.56581e+06
